/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:2.3 CYCLES:2408 ICOUNT:1035 IHITRATE: 99.5 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:2.3 CYCLES:2342 ICOUNT:1035 IHITRATE: 99.5 DHITRATE: 98.1
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:2.2 CYCLES:2264 ICOUNT:1035 IHITRATE: 99.5 DHITRATE: 99.5
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:2.2 CYCLES:2324 ICOUNT:1035 IHITRATE: 99.5 DHITRATE: 98.4
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:2.3 CYCLES:2396 ICOUNT:1035 IHITRATE: 99.5 DHITRATE: 97.1
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:2.3 CYCLES:2408 ICOUNT:1035 IHITRATE: 99.5 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:2.3 CYCLES:2402 ICOUNT:1035 IHITRATE: 99.5 DHITRATE: 96.9
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:2.4 CYCLES:2438 ICOUNT:1035 IHITRATE: 99.5 DHITRATE: 96.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:2.3 CYCLES:2348 ICOUNT:1035 IHITRATE: 99.5 DHITRATE: 98.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:2.3 CYCLES:2336 ICOUNT:1035 IHITRATE: 99.5 DHITRATE: 98.2
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:2.8 CYCLES:283 ICOUNT:102 IHITRATE: 94.8 DHITRATE: 86.4
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:10.6 CYCLES:32 ICOUNT:3 IHITRATE: 50.0 DHITRATE: 0.0
